text,label
I love this movie,positive
This product is amazing,positive
Excellent quality and fast delivery,positive
Very satisfied with the service,positive
The experience was wonderful,positive
Highly recommended,positive
Great performance and easy to use,positive
Absolutely fantastic,positive
I am very happy with my purchase,positive
This is the best choice,positive
Outstanding customer support,positive
The app works perfectly,positive
Everything was smooth and pleasant,positive
Really enjoyed using this,positive
Top quality product,positive
The results are impressive,positive
It exceeded my expectations,positive
I would buy this again,positive
Very positive experience,positive
The design is beautiful,positive
Fast and reliable service,positive
Superb functionality,positive
Worth every penny,positive
I am completely satisfied,positive
A great experience overall,positive
I hate this movie,negative
This product is terrible,negative
Very bad quality,negative
Extremely disappointed,negative
The experience was awful,negative
Not recommended at all,negative
Poor performance and hard to use,negative
Absolutely horrible,negative
I am very unhappy with my purchase,negative
This is the worst choice,negative
Terrible customer support,negative
The app does not work,negative
Everything was slow and frustrating,negative
Really disliked using this,negative
Low quality product,negative
The results are disappointing,negative
It did not meet my expectations,negative
I would never buy this again,negative
Very negative experience,negative
The design is ugly,negative
Slow and unreliable service,negative
Awful functionality,negative
Not worth the money,negative
I am completely dissatisfied,negative
A bad experience overall,negative
